taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason
112482	Seriola peruana	Seriola	Carangidae	Carangidae	Darkfin Amberjack	0	9	False	False	False	ineligible	below_regional_or_global_threshold
194667	Seriola quinqueradiata	Seriola	Carangidae	Carangidae	Japanese Amberjack	0	10	False	False	False	ineligible	below_regional_or_global_threshold
133676	Seriola zonata	Seriola	Carangidae	Carangidae	Banded Rudderfish	0	164	False	False	False	ineligible	below_regional_or_global_threshold
333752	Seriolina nigrofasciata	Seriolina	Carangidae	Carangidae	Blackbanded Amberjack	0	43	False	False	False	ineligible	below_regional_or_global_threshold
118696	Trachurus capensis	Trachurus	Carangidae	Carangidae	Cape Horse Mackerel	0	2	False	False	False	ineligible	below_regional_or_global_threshold
529709	Trachurus declivis	Trachurus	Carangidae	Carangidae	Common Jack Mackerel	0	21	False	False	False	ineligible	below_regional_or_global_threshold
194666	Trachurus japonicus	Trachurus	Carangidae	Carangidae	Japanese Horse Mackerel	0	78	False	False	False	ineligible	below_regional_or_global_threshold
179447	Trachurus lathami	Trachurus	Carangidae	Carangidae	Rough Scad	0	42	False	False	False	ineligible	below_regional_or_global_threshold
118694	Trachurus mediterraneus	Trachurus	Carangidae	Carangidae	Mediterranean Horse Mackerel	0	77	False	False	False	ineligible	below_regional_or_global_threshold
114273	Trachurus murphyi	Trachurus	Carangidae	Carangidae	Chilean Jack Mackerel	0	40	False	False	False	ineligible	below_regional_or_global_threshold
120676	Trachurus picturatus	Trachurus	Carangidae	Carangidae	Blue Jack Mackerel	0	21	False	False	False	ineligible	below_regional_or_global_threshold
