taxon_id	species	genus	scientist_family	inat_family	preferred_common_name	regional_count	global_count	eligible	target_species	selected	dataset_role	selection_reason	estimated_accepted_observations	planned_accepted_target
608309	Apogonichthyoides pharaonis	Apogonichthyoides	Apogonidae	Apogonidae	Pharaoh Cardinalfish	0	8	False	False	False	ineligible	below_required_observation_threshold	3	0
608312	Apogonichthyoides taeniatus	Apogonichthyoides	Apogonidae	Apogonidae	Twobelt Cardinalfish	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
529417	Apogonichthyoides timorensis	Apogonichthyoides	Apogonidae	Apogonidae	Timor Cardinalfish	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
529420	Archamia bleekeri	Archamia	Apogonidae	Apogonidae	Gon's Cardinalfish	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
316969	Astrapogon alutus	Astrapogon	Apogonidae	Apogonidae	Bronze Cardinalfish	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
131494	Astrapogon puncticulatus	Astrapogon	Apogonidae	Apogonidae	Blackfin Cardinalfish	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
549913	Cheilodipterus alleni	Cheilodipterus	Apogonidae	Apogonidae	Allen's Cardinalfish	0	5	False	False	False	ineligible	below_required_observation_threshold	2	0
194781	Cheilodipterus arabicus	Cheilodipterus	Apogonidae	Apogonidae	Tiger Cardinalfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
194783	Cheilodipterus artus	Cheilodipterus	Apogonidae	Apogonidae	Wolf Cardinalfish	0	28	False	False	False	ineligible	below_required_observation_threshold	10	0
424704	Cheilodipterus intermedius	Cheilodipterus	Apogonidae	Apogonidae	Intermediate Cardinalfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
1316613	Cheilodipterus isostigma	Cheilodipterus	Apogonidae	Apogonidae	Toothy Cardinalfish	0	2	False	False	False	ineligible	below_required_observation_threshold	1	0
472907	Cheilodipterus lachneri	Cheilodipterus	Apogonidae	Apogonidae	Aqaba Cardinalfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
194782	Cheilodipterus macrodon	Cheilodipterus	Apogonidae	Apogonidae	Tiger Cardinalfish	0	112	False	False	False	ineligible	below_required_observation_threshold	39	0
344897	Cheilodipterus novemstriatus	Cheilodipterus	Apogonidae	Apogonidae	Twospot Cardinalfish	0	10	False	False	False	ineligible	below_required_observation_threshold	3	0
424791	Cheilodipterus parazonatus	Cheilodipterus	Apogonidae	Apogonidae	Mimic cardinalfish	0	1	False	False	False	ineligible	below_required_observation_threshold	0	0
608317	Cheilodipterus persicus	Cheilodipterus	Apogonidae	Apogonidae	Persian Cardinalfish	0	3	False	False	False	ineligible	below_required_observation_threshold	1	0
