taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
67963	Thalassoma hardwicke	Thalassoma	Labridae	Labridae	644	common_target_pretraining	200	200	0	0.301386	194	200	primary_train	v3_exact_label_count_meets_minimum
113980	Thalassoma lunare	Thalassoma	Labridae	Labridae	773	common_target_pretraining	200	200	0	0.301386	233	200	primary_train	v3_exact_label_count_meets_minimum
112867	Sparisoma viride	Sparisoma	Labridae	Labridae	1057	broad_pretraining	200	200	0	0.301386	319	200	primary_train	v3_exact_label_count_meets_minimum
49491	Thalassoma bifasciatum	Thalassoma	Labridae	Labridae	1191	broad_pretraining	200	200	0	0.301386	359	200	primary_train	v3_exact_label_count_meets_minimum
50972	Thalassoma pavo	Thalassoma	Labridae	Labridae	1033	broad_pretraining	200	200	0	0.301386	311	200	primary_train	v3_exact_label_count_meets_minimum
57333	Bodianus diplotaenia	Bodianus	Labridae	Labridae	556	eligible_not_selected			0	0.301386	168	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
49428	Bodianus rufus	Bodianus	Labridae	Labridae	303	eligible_not_selected			0	0.301386	91	200	reserve_backfill	near_minimum_or_projection_uncertain
97307	Cheilinus chlorourus	Cheilinus	Labridae	Labridae	328	eligible_not_selected			0	0.301386	99	200	reserve_backfill	near_minimum_or_projection_uncertain
97308	Cheilinus fasciatus	Cheilinus	Labridae	Labridae	300	eligible_not_selected			0	0.301386	90	200	reserve_backfill	near_minimum_or_projection_uncertain
68028	Chlorurus sordidus	Chlorurus	Labridae	Labridae	369	eligible_not_selected			0	0.301386	111	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
50968	Coris julis	Coris	Labridae	Labridae	688	eligible_not_selected			0	0.301386	207	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
100036	Epibulus insidiator	Epibulus	Labridae	Labridae	406	eligible_not_selected			0	0.301386	122	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
52508	Gomphosus varius	Gomphosus	Labridae	Labridae	492	eligible_not_selected			0	0.301386	148	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
49272	Halichoeres bivittatus	Halichoeres	Labridae	Labridae	687	eligible_not_selected			0	0.301386	207	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
49946	Halichoeres garnoti	Halichoeres	Labridae	Labridae	431	eligible_not_selected			0	0.301386	130	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
102080	Halichoeres scapularis	Halichoeres	Labridae	Labridae	256	eligible_not_selected			0	0.301386	77	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
102088	Halichoeres trimaculatus	Halichoeres	Labridae	Labridae	338	eligible_not_selected			0	0.301386	102	200	reserve_backfill	near_minimum_or_projection_uncertain
